score_cls,count,min,max,mean,std,p05,p25,p50,p75,p95
0,48,0.16099965572357178,0.7091524600982666,0.39735394654174644,0.12127166952302397,0.2693806916475296,0.32316068559885025,0.363863006234169,0.43945544213056564,0.6470055520534514
1,93,0.41759172081947327,0.8502945899963379,0.6549432236020283,0.09932902905225116,0.45615185499191285,0.5987969636917114,0.6692523956298828,0.7240507006645203,0.8006824016571044
2,96,0.29742980003356934,0.878402829170227,0.6823025364428759,0.11407791266138165,0.48217662423849106,0.6367551237344742,0.6998727023601532,0.7512126415967941,0.8353929817676544
3,90,0.4277156889438629,0.9019830822944641,0.731743284728792,0.1022376703365413,0.538968288898468,0.6694803237915039,0.7601302862167358,0.8031917363405228,0.8658684074878693
4,84,0.5489306449890137,0.9530879855155945,0.8231971952177229,0.08828700762476217,0.6495733022689819,0.7822677791118622,0.851887047290802,0.8805573731660843,0.9373463541269302
5,99,0.7088103294372559,0.96384596824646,0.8700302104757289,0.056817570368302386,0.7605343163013458,0.841863214969635,0.8810106515884399,0.9130114316940308,0.9423094093799591
