score_cls,count,min,max,mean,std,p05,p25,p50,p75,p95
0,6,0.26456716656684875,0.43628594279289246,0.34370657801628113,0.0553106803482815,0.27580326050519943,0.3138490244746208,0.33163753151893616,0.3755532130599022,0.4243643954396248
1,2,0.4382667541503906,0.8066281080245972,0.6224474310874939,0.18418067693710327,0.456684821844101,0.5303570926189423,0.6224474310874939,0.7145377695560455,0.7882100403308868
2,5,0.48612627387046814,0.8035725355148315,0.5823986172676087,0.12147203675528498,0.4861520707607269,0.4862552583217621,0.5135495662689209,0.6224894523620605,0.7673559188842773
3,17,0.46334338188171387,0.7982831597328186,0.6470165533177993,0.09254976477180023,0.4702727794647217,0.5874243378639221,0.6640427708625793,0.7184164524078369,0.7526962876319885
4,2,0.6496292352676392,0.7179673910140991,0.6837983131408691,0.03416907787322998,0.6530461430549621,0.6667137742042542,0.6837983131408691,0.7008828520774841,0.7145504832267762
5,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
