metric,count,accuracy_2afc,soft_agreement_mean,model_choose_p0_ratio,human_choose_p0_ratio,mean_margin_p0_minus_p1
PSNR,36344,0.6666024653312789,0.6329022679099087,0.4947996918335901,0.4816200748404138,-0.061476859750134706
SSIM,36344,0.6409586176535329,0.6137079027578343,0.49612040501871013,0.4816200748404138,-0.000670720542983981
FSIM,36344,0.6713900506273388,0.6397149466874413,0.49612040501871013,0.4816200748404138,-7.272856451461107e-06
VIF,36344,0.5813339203169712,0.5682038302870966,0.49823904908650674,0.4816200748404138,-0.0023777641736346484
LPIPS,36344,0.6990975126568347,0.6624036986190573,0.5020911292097733,0.4816200748404138,-0.00031295639701648477
DISTS,36344,0.7229253797050407,0.6777459837142857,0.49911952454325337,0.4816200748404138,-0.00043851935683749413
