metric,count,accuracy_2afc,soft_agreement_mean,model_choose_p0_ratio,human_choose_p0_ratio,mean_margin_p0_minus_p1
PSNR,12,0.75,0.6333333353201548,0.5,0.5833333333333334,2.7647425333658853
SSIM,12,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.03492671996355057
FSIM,12,0.75,0.6999999980131785,0.6666666666666666,0.5833333333333334,0.03632384538650513
VIF,12,0.5833333333333334,0.5333333313465118,0.5,0.5833333333333334,0.12947883332769075
LPIPS,12,0.6666666666666666,0.649999996026357,0.75,0.5833333333333334,-0.04182454695304235
DISTS,12,0.75,0.6999999980131785,0.8333333333333334,0.5833333333333334,-0.05451115469137827
